"id","school_year","district_name","enrollment_grades_k_12","total_susp","iss_b","oss_b","iss_w","oss_w","h","a","m","p","i","b_disp","w_disp","h_disp","a_disp","m_disp","p_disp","i_disp"
"1",2008,"KIRKSVILLE R-III",2524,544,,,407,119,18,,,,,,1.03712513644308,1.57563025210084,,,,
"2",2008,"ADAIR CO. R-II",251,7,,,7,,,,,,,,1.01615689462453,,,,,
"3",2008,"NORTH ANDREW CO. R-VI",366,108,,,108,,,,,,,,1.0082677959266,,,,,
"4",2008,"SAVANNAH R-III",2383,252,,,161,91,,,,,,,1.03928497193931,,,,,
"5",2008,"MEXICO 59",2361,942,142,7,757,25,11,,,,,1.41479514905674,0.977105249479211,0.399906930750662,,,,
"6",2008,"SOUTHWEST R-V",911,6,,,6,,,,,,,,1.05563179562968,,,,,
"7",2008,"CASSVILLE R-IV",1996,698,,,635,40,16,7,,,,,1.05596059248932,0.416018804049943,0.557147405284941,,,
"8",2008,"PURDY R-II",727,15,,,9,6,,,,,,,1.33886731824876,,,,,
"9",2008,"SHELL KNOB 78",162,15,,,15,,,,,,,,1.03188525435972,,,,,
"10",2008,"MONETT R-I",2071,727,,,514,40,173,,,,,,1.05706167764084,0.909301630067714,,,,
"11",2008,"LAMAR R-I",1335,680,,,636,44,,,,,,,1.04134124752681,,,,,
"12",2008,"RICH HILL R-IV",396,97,,,78,19,,,,,,,1.03124677735382,,,,,
"13",2008,"BUTLER R-V",1037,110,,,89,21,,,,,,,1.06473594548552,,,,,
"14",2008,"LINCOLN R-II",556,345,,,338,7,,,,,,,1.02585145670907,,,,,
"15",2008,"WARSAW R-IX",1306,341,,,294,41,6,,,,,,1.01666634801005,0.921220309837098,,,,
"16",2008,"WOODLAND R-IV",928,164,,,123,41,,,,,,,1.0120433154539,,,,,
"17",2008,"CENTRALIA R-VI",1311,87,,,61,26,,,,,,,1.02343670044008,,,,,
"18",2008,"COLUMBIA 93",16619,9165,2941,2599,1854,1513,200,34,,,24,2.70942868957308,0.539941044275166,0.541492542970818,0.0698637554028827,,,0.818330605564648
"19",2008,"EAST BUCHANAN CO. C-1",732,122,,,89,33,,,,,,,1.03103412722961,,,,,
"20",2008,"ST. JOSEPH",11532,5586,662,266,3405,1048,190,9,,,6,1.81562415014899,0.950824785518868,0.602010715790741,0.173244170333668,,,0.249793920015987
"21",2008,"NEELYVILLE R-IV",625,125,,,125,,,,,,,,1.06112054329372,,,,,
